SID	ntag	f50	ntag.3	ntag.4	ntag.5	ntag.7	ntag.6	ntag.8	Ffinal.3	Ffinal.4	Ffinal.5	Ffinal.6	Ffinal.7	Ffinal.8
e105;p4450	57.8333333333333	276.166666666667	68	58	78	49	36	58	358	267	394	170	216	252
e903;e904;p2268	64.6666666666667	316	62	55	68	74	62	67	291	266	348	310	374	307
e905	926.666666666667	5000	911	932	923	928	933	933	5000	5000	5000	5000	5000	5000
e1276;p5177	62	308.333333333333	57	59	93	53	58	52	287	285	493	274	249	262
e1539;p5323;h13181;h13182	878.666666666667	5000	876	861	935	874	867	859	5000	5000	5000	5000	5000	5000
e1611	107.166666666667	539.333333333333	86	102	101	98	99	157	440	530	502	484	463	817
e1612;p5880	158.833333333333	786.666666666667	52	146	258	195	155	147	282	754	1254	731	961	738
e2780;e2781;e2782;e2783;e2784;p658;h8685;h8694	1008	5000	1008	1008	1008	1008	1008	1008	5000	5000	5000	5000	5000	5000
e3580;p2478;h16724;h16726;h16730;h16732;h16736;h16738	290.833333333333	1442.5	248	341	325	275	255	301	1241	1675	1586	1282	1372	1499
e5884	17.8333333333333	84.3333333333333	2	51	4	46	3	1	11	243	23	12	214	3
e5885	2.66666666666667	13.1666666666667	1	7	1	1	3	3	5	36	2	18	4	14
e5888	34.6666666666667	169.333333333333	3	51	52	50	51	1	21	236	265	247	242	5
e6503;p7478;h14721;h14724;h14739;h14742	450.166666666667	2197.33333333333	569	481	424	410	440	377	2791	2323	2040	2176	2051	1803
e6507	69.5	343.5	49	99	51	65	52	101	228	534	244	261	296	498
d494	4.16666666666667	21.3333333333333	1	3	17	1	2	1	4	13	92	10	4	5
d495	1.66666666666667	9.66666666666667	2	1	3	1	2	1	10	7	18	13	8	2
p52	17.3333333333333	84.3333333333333	47	2	4	1	1	49	231	10	19	2	2	242
p404	1001	5000	1001	1001	1001	1001	1001	1001	5000	5000	5000	5000	5000	5000
p537	24.3333333333333	119.5	1	2	1	45	49	48	3	6	7	264	231	206
p815;p7007	35.6666666666667	170	53	52	2	34	52	21	253	236	15	264	141	111
p943	78.1666666666667	403.666666666667	94	62	51	95	59	108	465	322	253	315	479	588
p1446	7.33333333333333	36.5	5	12	2	3	13	9	25	67	9	60	20	38
p2548	491.333333333333	2454	383	361	731	439	506	528	1954	1798	3662	2549	2191	2570
p2888	36	177	1	64	50	49	51	1	9	290	260	260	239	4
p3023	111.166666666667	558.666666666667	132	63	70	113	82	207	662	305	331	418	620	1016
p4070;h16741;h16742;h16743;h16744;h16747;h16748;h16749;h16750;h16753;h16754;h16755;h16756	550.666666666667	2662.33333333333	626	483	446	573	610	566	3020	2315	2189	2964	2767	2719
p4122	66.5	337	70	70	79	64	64	52	338	339	390	350	348	257
p4170	510.666666666667	2546	619	641	271	563	496	474	3046	3202	1338	2451	2809	2430
p4289;h13165	27.1666666666667	134	32	33	11	35	40	12	133	172	63	220	160	56
p4308	17.5	89.5	50	29	12	2	9	3	258	157	58	40	11	13
p4721	1.83333333333333	10	4	1	1	2	1	2	24	4	2	8	13	9
p5330	1001	5000	1001	1001	1001	1001	1001	1001	5000	5000	5000	5000	5000	5000
p5351	1001	5000	1001	1001	1001	1001	1001	1001	5000	5000	5000	5000	5000	5000
p5360	877	5000	888	874	887	872	874	867	5000	5000	5000	5000	5000	5000
p5361	1001	5000	1001	1001	1001	1001	1001	1001	5000	5000	5000	5000	5000	5000
p5369	935.5	5000	932	932	923	938	938	950	5000	5000	5000	5000	5000	5000
p5566	78.1666666666667	381.333333333333	112	48	48	53	97	111	547	240	219	490	246	546
p5737	702	2509.83333333333	684	716	707	661	714	730	2506	2486	2558	2572	2373	2564
p5759	877.5	4388.33333333333	852	932	927	870	911	773	4282	4655	4645	4544	4308	3896
p5984	32.8333333333333	164.833333333333	9	8	13	60	59	48	50	38	70	290	292	249
p6437	1.33333333333333	7.33333333333333	1	2	2	1	1	1	7	14	10	4	7	2
p6943	14.3333333333333	72.8333333333333	3	11	8	26	37	1	12	51	52	190	126	6
p7060	35	171.166666666667	51	1	50	53	54	1	238	7	228	283	265	6
p7075	2	10.3333333333333	5	1	2	1	1	2	19	7	13	2	5	16
p7203	28.8333333333333	140.666666666667	41	58	6	8	7	53	215	261	32	33	39	264
p7330	8.83333333333333	43.6666666666667	4	2	40	2	3	2	12	13	197	16	11	13
p7377;h15864	77.1666666666667	376	114	52	57	95	54	91	575	253	266	276	446	440
p7456	10.8333333333333	53	12	7	4	14	8	20	56	40	24	38	72	88
h13166	5	26.3333333333333	6	1	8	8	6	1	33	9	41	29	38	8
h13167	7	29.8333333333333	1	19	3	8	5	6	6	84	14	15	34	26
h13176	4.33333333333333	21.5	6	2	4	7	5	2	38	14	18	22	30	7
h13201	13.1666666666667	67.5	2	5	8	14	3	47	11	32	39	18	68	237
h13204	16.3333333333333	76.5	37	28	1	13	7	12	166	142	3	35	58	55
h13205	25.3333333333333	127.166666666667	26	15	4	10	46	51	139	89	18	203	61	253
h15858	8.5	40.6666666666667	1	2	2	44	1	1	6	5	13	4	207	9
h15859	1.5	8	2	1	1	1	1	3	14	3	2	2	9	18
h16723;h16725;h16729;h16731;h16735;h16737	184.166666666667	895.166666666667	154	201	250	182	163	155	739	1010	1225	754	861	782
p3021	1001	3172.83333333333	1001	1001	1001	1001	1001	1001	3149	3175	3164	3181	3173	3195
p5346	1001	3158.16666666667	1001	1001	1001	1001	1001	1001	3143	3151	3142	3192	3159	3162
e331;p7171;h1288;h1294	1004	3152.16666666667	1004	1004	1004	1004	1004	1004	3200	3122	3082	3169	3155	3185
p7423	1001	3148.16666666667	1001	1001	1001	1001	1001	1001	3116	3137	3128	3166	3208	3134
p5347	1001	3153.16666666667	1001	1001	1001	1001	1001	1001	3203	3157	3153	3087	3128	3191
p5363	1001	3126	1001	1001	1001	1001	1001	1001	3105	3120	3127	3151	3105	3148
p5945	1001	3182.83333333333	1001	1001	1001	1001	1001	1001	3212	3176	3141	3243	3162	3163
e6933;p7427;h8400	1003	3147.16666666667	1003	1003	1003	1003	1003	1003	3137	3123	3203	3116	3138	3166
h8403	1001	3158.5	1001	1001	1001	1001	1001	1001	3193	3161	3162	3115	3155	3165
p5943	1001	3156.5	1001	1001	1001	1001	1001	1001	3112	3148	3158	3192	3144	3185
e1570;h12551;h12554	1003	3184.83333333333	1003	1003	1003	1003	1003	1003	3243	3198	3197	3115	3168	3188
e1571;h12545;h12548	1003	3129.83333333333	1003	1003	1003	1003	1003	1003	3126	3141	3113	3135	3159	3105
h12557;h12560	1002	3162.83333333333	1002	1002	1002	1002	1002	1002	3186	3149	3169	3188	3128	3157
h12563;h12566	1002	3163.16666666667	1002	1002	1002	1002	1002	1002	3150	3161	3196	3175	3159	3138
h13711;h13712	1002	3171.16666666667	1002	1002	1002	1002	1002	1002	3143	3171	3186	3209	3190	3128
e3024;p5888	1002	3159.16666666667	1002	1002	1002	1002	1002	1002	3130	3197	3156	3141	3174	3157
e3025;p5886	1002	3144.83333333333	1002	1002	1002	1002	1002	1002	3110	3158	3204	3104	3178	3115
p5381	1001	3190.66666666667	1001	1001	1001	1001	1001	1001	3173	3200	3172	3176	3225	3198
p2953	1001	3158.83333333333	1001	1001	1001	1001	1001	1001	3145	3093	3184	3152	3160	3219
h13158	1001	3150.16666666667	1001	1001	1001	1001	1001	1001	3160	3121	3173	3128	3159	3160
e888;e889;h18183;h18184	1004	3167.16666666667	1004	1004	1004	1004	1004	1004	3136	3151	3195	3119	3200	3202
e892;p5334;h18173;h18174	1004	3159.33333333333	1004	1004	1004	1004	1004	1004	3146	3146	3182	3201	3116	3165
e895;p5358	1002	3145.66666666667	1002	1002	1002	1002	1002	1002	3158	3141	3163	3125	3138	3149
e900;e901;p5344;h18187;h18188	1005	3150.83333333333	1005	1005	1005	1005	1005	1005	3128	3109	3232	3149	3103	3184
e1517;h13717	566.5	2146.16666666667	612	532	592	566	549	548	2295	2030	2233	2129	2135	2055
e6359	436.5	1769.66666666667	391	471	411	437	454	455	1692	1832	1639	1883	1798	1774
p7405	1001	3147.33333333333	1001	1001	1001	1001	1001	1001	3137	3120	3173	3164	3139	3151
