SID	ntag	f50	ntag.3	ntag.4	ntag.5	ntag.7	ntag.6	ntag.8	Ffinal.3	Ffinal.4	Ffinal.5	Ffinal.6	Ffinal.7	Ffinal.8
e2789;e2790;e2791	1003	3169.16666666667	1003	1003	1003	1003	1003	1003	3155	3202	3220	3130	3175	3133
p2956	1001	3156.66666666667	1001	1001	1001	1001	1001	1001	3196	3171	3135	3158	3150	3130
e3205;p4380	1002	3166	1002	1002	1002	1002	1002	1002	3208	3148	3162	3192	3144	3142
e3211;p4489;h16785	1003	3162.33333333333	1003	1003	1003	1003	1003	1003	3141	3174	3161	3234	3116	3148
h16791;h16819	1002	3152.83333333333	1002	1002	1002	1002	1002	1002	3101	3142	3126	3176	3198	3174
e5708;p7353;h11849;h11852	555.166666666667	2115.33333333333	557	509	521	555	633	556	2105	1970	1976	2345	2136	2160
e5710;e5712;p7385;h11855;h11858	511.166666666667	1996.5	500	503	509	549	498	508	1933	1975	2058	1978	2110	1925
d156;h7310;h7311;h7319;h7320	1005	3153	1005	1005	1005	1005	1005	1005	3131	3052	3151	3214	3179	3191
d577;h7313;h7314;h7322;h7323	1005	3184.16666666667	1005	1005	1005	1005	1005	1005	3203	3166	3193	3232	3158	3153
d578;h7316;h7317;h7325;h7326	1005	3170.33333333333	1005	1005	1005	1005	1005	1005	3169	3171	3183	3161	3182	3156
p7364	1001	3169.83333333333	1001	1001	1001	1001	1001	1001	3194	3156	3163	3135	3164	3207
p4434	427.666666666667	1730.83333333333	464	460	462	430	339	411	1894	1818	1890	1382	1760	1641
p4505	403.666666666667	1617.5	400	394	475	443	334	376	1640	1635	1821	1304	1769	1536
e5242;e5253	599.333333333333	2231.83333333333	603	609	528	560	669	627	2267	2257	2045	2387	2146	2289
e5264;e5275	1002	3163.83333333333	1002	1002	1002	1002	1002	1002	3186	3156	3179	3137	3198	3127
e5286;e5297	575.333333333333	2151	539	543	541	573	664	592	2091	2077	2072	2346	2121	2199
e5308;e5319	1002	3165.5	1002	1002	1002	1002	1002	1002	3178	3179	3093	3167	3145	3231
d140	1001	3187.83333333333	1001	1001	1001	1001	1001	1001	3146	3150	3202	3227	3206	3196
e4047;h5284	1002	3143.33333333333	1002	1002	1002	1002	1002	1002	3150	3141	3171	3160	3103	3135
e5478	1001	3160.16666666667	1001	1001	1001	1001	1001	1001	3158	3121	3153	3154	3149	3226
e5484	1001	3154	1001	1001	1001	1001	1001	1001	3125	3140	3169	3164	3200	3126
e7846;p7458;h12022	1003	3162.16666666667	1003	1003	1003	1003	1003	1003	3129	3199	3177	3155	3165	3148
d157	1001	3168.83333333333	1001	1001	1001	1001	1001	1001	3125	3127	3211	3193	3180	3177
p3245	1001	3160	1001	1001	1001	1001	1001	1001	3145	3137	3160	3182	3212	3124
e1279	1001	3168.33333333333	1001	1001	1001	1001	1001	1001	3217	3140	3080	3214	3161	3198
e1183;p5733	450.833333333333	1789.83333333333	449	497	485	451	373	450	1763	1947	1884	1573	1781	1791
e1186;p5741;h11861;h11862	497.833333333333	1961.33333333333	509	506	500	460	511	501	1948	2036	2020	1996	1808	1960
e1210;p3439;h14247;h14248;h14249;h14250;h14251;h14252;h14253;h14254	1010	3152.83333333333	1010	1010	1010	1010	1010	1010	3150	3193	3136	3167	3122	3149
e5722	1001	3161.5	1001	1001	1001	1001	1001	1001	3167	3183	3104	3211	3127	3177
e5728	1001	3167	1001	1001	1001	1001	1001	1001	3177	3156	3126	3230	3119	3194
e1199;e1200;p3438;p3440;h11572;h11574;h11576;h11578	735.166666666667	2606	701	801	654	743	777	735	2572	2798	2399	2667	2549	2651
p3436	466.333333333333	1869	456	503	438	466	471	464	1815	1966	1796	1865	1911	1861
p3478	535.666666666667	2050.83333333333	546	499	564	536	531	538	2087	1943	2136	2055	2022	2062
p3485	273.833333333333	1189	308	208	355	266	232	274	1341	896	1477	1023	1178	1219
e6540;e6542;p7355;h13480	1004	3148.66666666667	1004	1004	1004	1004	1004	1004	3162	3156	3136	3112	3170	3156
e8617;e8619;p7407;h5267	593.666666666667	2214.66666666667	611	643	553	556	607	592	2313	2372	2053	2249	2124	2177
e8625;p7424;h5270	1003	3183.83333333333	1003	1003	1003	1003	1003	1003	3168	3187	3189	3194	3180	3185
e3031;h5274	412.333333333333	1692.16666666667	395	363	453	450	399	414	1596	1539	1842	1681	1830	1665
e1984;p3435;p3442;h14306;h14307;h14308;h14312;h14313;h14314	1009	3186.16666666667	1009	1009	1009	1009	1009	1009	3168	3188	3184	3217	3189	3171
e6877;h14303;h14304;h14305;h14309;h14310;h14311	1007	3182	1007	1007	1007	1007	1007	1007	3189	3149	3178	3171	3178	3227
h14315;h14316;h14317	1003	3156.16666666667	1003	1003	1003	1003	1003	1003	3186	3151	3170	3143	3153	3134
h14318;h14319;h14320	1003	3162.66666666667	1003	1003	1003	1003	1003	1003	3146	3184	3151	3174	3179	3142
h14321;h14322;h14323	1003	3172.16666666667	1003	1003	1003	1003	1003	1003	3193	3184	3215	3161	3136	3144
h14324;h14325;h14326	1003	3170.5	1003	1003	1003	1003	1003	1003	3132	3233	3137	3147	3208	3166
h7187	1001	3168.66666666667	1001	1001	1001	1001	1001	1001	3140	3173	3162	3143	3229	3165
h7071;h7077	340.833333333333	1435.16666666667	335	366	395	315	330	304	1354	1545	1595	1439	1378	1300
e6842;p7484;h6931	1003	3148.16666666667	1003	1003	1003	1003	1003	1003	3143	3109	3146	3160	3165	3166
h7072;h7078	339.833333333333	1432	292	390	329	382	316	330	1268	1662	1411	1363	1520	1368
h6934	1001	3172.83333333333	1001	1001	1001	1001	1001	1001	3203	3193	3195	3140	3165	3141
h7090;h7135	1002	3154.66666666667	1002	1002	1002	1002	1002	1002	3103	3211	3142	3165	3143	3164
h7105;h7150	327.666666666667	1362	378	258	286	310	362	372	1567	1117	1205	1461	1309	1513
h7120;h7165	1002	3142.33333333333	1002	1002	1002	1002	1002	1002	3098	3132	3153	3164	3188	3119
h7188	1001	3159.33333333333	1001	1001	1001	1001	1001	1001	3153	3167	3148	3134	3154	3200
h7073;h7079	330.666666666667	1401	322	325	311	309	411	306	1345	1405	1343	1693	1357	1263
h7074;h7080	358.833333333333	1483.33333333333	421	342	388	353	299	350	1690	1437	1599	1270	1436	1468
h7093;h7138	1002	3151.5	1002	1002	1002	1002	1002	1002	3149	3194	3158	3121	3090	3197
h7108;h7153	316.833333333333	1337.5	266	341	306	340	297	351	1179	1390	1304	1269	1420	1463
h7123;h7168	1002	3165.33333333333	1002	1002	1002	1002	1002	1002	3179	3151	3141	3126	3233	3162
e6467;p3437	550.333333333333	2122.83333333333	510	529	555	592	580	536	2035	2050	2135	2204	2257	2056
e6473;p3445	598.166666666667	2240.33333333333	612	577	635	648	540	577	2280	2205	2302	2095	2366	2194
p3482	452.666666666667	1821.16666666667	493	474	448	411	423	467	1943	1940	1793	1704	1684	1863
p3492	404.833333333333	1674.33333333333	391	426	368	355	463	426	1594	1742	1532	1837	1561	1780
h16788	1001	3145	1001	1001	1001	1001	1001	1001	3159	3173	3059	3144	3163	3172
h16794;h16822	1002	3192.66666666667	1002	1002	1002	1002	1002	1002	3198	3170	3192	3157	3245	3194
h1285;h1291	1002	3167.83333333333	1002	1002	1002	1002	1002	1002	3181	3151	3200	3140	3178	3157
i1	738.333333333333	2833.33333333333	608	923	902	374	860	763	2584	3352	3260	3099	1523	3182
i2	474.666666666667	2721	556	576	511	330	424	451	2844	3242	3120	2640	2192	2288
i3	840	3773	844	942	964	731	836	723	3899	3973	4150	3698	3440	3478
i4	1383	4642.66666666667	1374	1255	1256	1424	1555	1434	4701	4492	4446	4650	4732	4835
i5	247.333333333333	2307.83333333333	216	145	289	346	178	310	1926	1808	2344	2461	2736	2572
i6	1878.16666666667	4773	1849	2182	1947	1626	1994	1671	4824	4831	4802	4837	4634	4710
i7	166	1417.5	266	63	160	269	108	130	1985	884	1232	1179	1819	1406
i8	240	1742.5	310	188	136	294	125	387	2082	1441	1160	1269	1934	2569
i9	327.666666666667	2648	340	516	339	311	193	267	2469	3505	2524	2487	2480	2423
i10	385.833333333333	2406.66666666667	269	313	411	384	454	484	2315	2514	2605	2504	2142	2360
i11	423.333333333333	2580.5	343	398	397	555	341	506	2726	2893	2526	2030	2818	2490
i12	188.666666666667	1302.66666666667	220	201	397	108	200	6	1303	1727	2049	893	1123	721
i13	191.833333333333	1322.33333333333	132	168	108	215	259	269	940	1628	901	1079	1537	1849
i14	238.833333333333	1482.33333333333	49	255	239	208	455	227	547	1974	1391	1786	1541	1655
i15	209.833333333333	1374	499	108	132	182	227	111	2388	1295	1002	994	1421	1144
i16	159.166666666667	1159	111	57	188	214	150	235	849	1098	1158	699	1517	1633
i17	409	1914	332	243	528	339	609	403	1481	1107	2468	3164	1714	1550
i18	430.833333333333	2585.33333333333	217	381	443	739	396	409	1523	2368	2349	2249	3475	3548
i19	408.666666666667	2532	471	532	445	277	489	238	2668	2984	2342	2583	1760	2855
i20	675.833333333333	3313	816	542	716	595	686	700	4005	2662	3505	3358	2898	3450
i21	305.5	1501.16666666667	141	617	379	204	142	350	835	2304	1903	1367	1239	1359
i22	1294.16666666667	4994.33333333333	1260	1331	1418	1303	1173	1280	4997	4997	4989	4999	4991	4993
i23	177.333333333333	815.666666666667	77	176	129	307	158	217	474	742	644	704	1270	1060
i24	127.666666666667	627	173	189	110	171	2	121	869	782	571	148	740	652
i25	109.666666666667	572.833333333333	67	74	75	121	263	58	446	422	426	1074	618	451
i26	182.333333333333	816.666666666667	311	45	166	400	115	57	1408	290	758	533	1515	396
i27	460.666666666667	2017.16666666667	797	471	161	524	174	637	3077	1888	1068	1435	2378	2257
i28	784.5	3610.66666666667	791	758	639	791	906	822	3697	3467	3036	4123	3633	3708
i29	379.333333333333	1902.16666666667	248	296	523	341	498	370	1141	1594	2370	2438	1875	1995
i30	793.166666666667	3509.5	998	867	699	766	656	773	4108	3845	2969	2990	3615	3530
i31	324	1661.33333333333	363	297	368	431	270	215	2040	1661	1880	1398	1696	1293
i32	445	2093.66666666667	698	253	499	368	639	213	3212	1413	2333	2709	1539	1356
i33	368.666666666667	1827.5	1	532	255	494	216	714	661	2478	1525	1169	2017	3115
i34	500.666666666667	2694.66666666667	859	461	298	228	700	458	3407	2251	2099	3352	2106	2953
i35	385	2280.16666666667	261	570	490	512	212	265	1363	2673	2871	1430	3198	2146
i36	240.666666666667	1709.5	296	177	242	393	279	57	2281	1617	1554	1859	2335	611
i37	294.166666666667	1872	48	429	399	178	122	589	1156	2650	2174	1138	1418	2696
i38	352.333333333333	2150.66666666667	311	237	351	369	398	448	2302	1843	2065	2385	2184	2125
i39	1206.66666666667	4259.16666666667	1180	1187	1209	1164	1167	1333	4356	4147	4197	4352	4192	4311
i40	117.333333333333	1462.66666666667	50	113	113	103	319	6	925	1328	1660	2038	1285	1540
i41	172.333333333333	1712	203	246	51	224	209	101	1668	1901	1362	1616	1754	1971
i42	188.5	1792.66666666667	285	288	154	233	59	112	1991	2084	1834	997	1805	2045
i43	214	1899	181	52	332	233	278	208	1559	1059	2603	1853	1843	2477
i44	1059.16666666667	4258.33333333333	1034	980	1226	938	1032	1145	4395	4077	4462	4138	3972	4506
i45	1145.33333333333	4225.83333333333	1391	1141	1072	1074	1158	1036	4556	4340	3962	4214	4232	4051
i46	674.666666666667	2904.83333333333	245	363	764	766	908	1002	1859	2488	3284	3739	2468	3591
i47	458.833333333333	2220.5	634	446	364	804	187	318	3284	2800	1962	1310	2572	1395
i48	705.333333333333	2913.5	955	1177	509	347	662	582	3652	4421	2372	2885	1611	2540
i49	978.333333333333	3951.16666666667	727	914	1188	934	1092	1015	3296	3665	4452	4191	4050	4053
i50	1048.83333333333	4074	1142	1045	866	1245	984	1011	4422	4098	3635	3893	4410	3986
i51	418.333333333333	2475.83333333333	385	205	289	585	432	614	2066	1777	2244	2664	3230	2874
i52	308.666666666667	1761.66666666667	91	360	185	210	196	810	830	2394	982	1334	1378	3652
i53	433	2116.33333333333	917	189	760	351	313	68	3480	1635	3028	1731	1936	888
i54	349.166666666667	1872.33333333333	264	330	273	406	611	211	1408	2220	1325	2759	2185	1337
i55	385.5	2612.83333333333	481	539	326	450	277	240	3225	2822	2355	2409	2940	1926
i56	364.666666666667	2512.5	101	398	408	344	387	550	1587	2326	2615	2904	2501	3142
i57	1235.33333333333	4372.83333333333	1155	1197	1179	1048	1298	1535	4292	4416	4392	4500	4104	4533
i58	322.333333333333	2158.33333333333	211	470	117	567	349	220	1497	2407	1295	2519	2776	2456
i59	479.166666666667	2798.66666666667	656	449	733	469	463	105	3310	2350	3884	2969	2368	1911
i60	201.666666666667	1266.66666666667	231	50	350	216	252	111	1506	777	1656	1550	1484	627
i61	193.333333333333	1241.66666666667	145	187	64	289	234	241	1171	1382	605	1461	1760	1071
i62	147.833333333333	1060.33333333333	295	50	165	196	54	127	1747	785	975	755	1398	702
i63	102.833333333333	892.666666666667	185	48	204	57	122	1	1346	791	1117	1004	873	225
i64	273.5	1525.83333333333	51	231	389	221	247	502	770	1487	1788	1533	1531	2046
i65	106.333333333333	896.833333333333	1	321	1	5	53	257	564	1910	382	722	676	1127
i66	258.666666666667	1849.5	286	256	459	158	287	106	1512	1609	2915	2092	1554	1415
i67	229.833333333333	1724	592	51	264	101	305	66	2758	735	2099	2210	1287	1255
i68	993.833333333333	4039.66666666667	990	1045	855	1027	932	1114	3999	4050	3742	3849	4239	4359
i69	1050.83333333333	4128.5	1073	1080	1144	1111	959	938	4037	4115	4365	4060	4223	3971
i70	195.5	1612.16666666667	54	406	1	92	192	428	633	2170	1007	1681	1269	2913
i71	178.833333333333	1534.33333333333	117	251	52	407	140	106	867	1550	1215	1493	2627	1454
i72	179.333333333333	1206.83333333333	51	55	296	188	204	282	1005	861	1478	1050	1157	1690
i73	288	1626.16666666667	618	300	75	143	497	95	3340	1804	704	2013	1025	871
i74	280	1582.33333333333	117	372	358	204	306	323	1279	2031	1755	1385	1244	1800
i75	286.166666666667	1601.83333333333	65	208	326	549	244	325	1087	1418	1627	1219	2489	1771
i76	685.166666666667	2901.5	777	608	782	698	596	650	3092	3153	2904	2931	2840	2489
i77	428.833333333333	1998.16666666667	398	337	485	414	280	659	1771	2110	1884	1680	1985	2559
i78	489.333333333333	2757.16666666667	512	648	329	333	755	359	2776	2743	2439	3482	2491	2612
i79	347.333333333333	2219	418	516	233	382	170	365	2464	2275	2090	1210	2701	2574
i80	656.666666666667	3187	614	464	774	707	688	693	2961	2237	3801	3307	3398	3418
