SID	ntag	f50
e105;p4450	2	358
e903;e904;p2268	3	291
e905	1	5000
e1276;p5177	2	287
e1539;p5323;h13181;h13182	4	5000
e1611	1	440
e1612;p5880	2	282
e2780;e2781;e2782;e2783;e2784;p658;h8685;h8694	8	5000
e3580;p2478;h16724;h16726;h16730;h16732;h16736;h16738	8	1241
e5884	1	11
e5885	1	5
e5888	1	21
e6503;p7478;h14721;h14724;h14739;h14742	6	2791
e6507	1	228
d494	1	4
d495	1	10
p52	1	231
p404	1	5000
p537	1	3
p815;p7007	2	253
p943	1	465
p1446	1	25
p2548	1	1954
p2888	1	9
p3023	1	662
p4070;h16741;h16742;h16743;h16744;h16747;h16748;h16749;h16750;h16753;h16754;h16755;h16756	13	3020
p4122	1	338
p4170	1	3046
p4289;h13165	2	133
p4308	1	258
p4721	1	24
p5330	1	5000
p5351	1	5000
p5360	1	5000
p5361	1	5000
p5369	1	5000
p5566	1	547
p5737	1	2506
p5759	1	4282
p5984	1	50
p6437	1	7
p6943	1	12
p7060	1	238
p7075	1	19
p7203	1	215
p7330	1	12
p7377;h15864	2	575
p7456	1	56
h13166	1	33
h13167	1	6
h13176	1	38
h13201	1	11
h13204	1	166
h13205	1	139
h15858	1	6
h15859	1	14
h16723;h16725;h16729;h16731;h16735;h16737	6	739
p3021	1	3149
p5346	1	3143
e331;p7171;h1288;h1294	4	3200
p7423	1	3116
p5347	1	3203
p5363	1	3105
p5945	1	3212
e6933;p7427;h8400	3	3137
h8403	1	3193
p5943	1	3112
e1570;h12551;h12554	3	3243
e1571;h12545;h12548	3	3126
h12557;h12560	2	3186
h12563;h12566	2	3150
h13711;h13712	2	3143
e3024;p5888	2	3130
e3025;p5886	2	3110
p5381	1	3173
p2953	1	3145
h13158	1	3160
e888;e889;h18183;h18184	4	3136
e892;p5334;h18173;h18174	4	3146
e895;p5358	2	3158
e900;e901;p5344;h18187;h18188	5	3128
e1517;h13717	2	2295
e6359	1	1692
p7405	1	3137
e2789;e2790;e2791	3	3155
p2956	1	3196
e3205;p4380	2	3208
e3211;p4489;h16785	3	3141
h16791;h16819	2	3101
e5708;p7353;h11849;h11852	4	2105
e5710;e5712;p7385;h11855;h11858	5	1933
d156;h7310;h7311;h7319;h7320	5	3131
d577;h7313;h7314;h7322;h7323	5	3203
d578;h7316;h7317;h7325;h7326	5	3169
p7364	1	3194
p4434	1	1894
p4505	1	1640
e5242;e5253	2	2267
e5264;e5275	2	3186
e5286;e5297	2	2091
e5308;e5319	2	3178
d140	1	3146
e4047;h5284	2	3150
e5478	1	3158
e5484	1	3125
e7846;p7458;h12022	3	3129
d157	1	3125
p3245	1	3145
e1279	1	3217
e1183;p5733	2	1763
e1186;p5741;h11861;h11862	4	1948
e1210;p3439;h14247;h14248;h14249;h14250;h14251;h14252;h14253;h14254	10	3150
e5722	1	3167
e5728	1	3177
e1199;e1200;p3438;p3440;h11572;h11574;h11576;h11578	8	2572
p3436	1	1815
p3478	1	2087
p3485	1	1341
e6540;e6542;p7355;h13480	4	3162
e8617;e8619;p7407;h5267	4	2313
e8625;p7424;h5270	3	3168
e3031;h5274	2	1596
e1984;p3435;p3442;h14306;h14307;h14308;h14312;h14313;h14314	9	3168
e6877;h14303;h14304;h14305;h14309;h14310;h14311	7	3189
h14315;h14316;h14317	3	3186
h14318;h14319;h14320	3	3146
h14321;h14322;h14323	3	3193
h14324;h14325;h14326	3	3132
h7187	1	3140
h7071;h7077	2	1354
e6842;p7484;h6931	3	3143
h7072;h7078	2	1268
h6934	1	3203
h7090;h7135	2	3103
h7105;h7150	2	1567
h7120;h7165	2	3098
h7188	1	3153
h7073;h7079	2	1345
h7074;h7080	2	1690
h7093;h7138	2	3149
h7108;h7153	2	1179
h7123;h7168	2	3179
e6467;p3437	2	2035
e6473;p3445	2	2280
p3482	1	1943
p3492	1	1594
h16788	1	3159
h16794;h16822	2	3198
h1285;h1291	2	3181
i1	1	2584
i2	1	2844
i3	1	3899
i4	1	4701
i5	1	1926
i6	1	4824
i7	1	1985
i8	1	2082
i9	1	2469
i10	1	2315
i11	1	2726
i12	1	1303
i13	1	940
i14	1	547
i15	1	2388
i16	1	849
i17	1	1481
i18	1	1523
i19	1	2668
i20	1	4005
i21	1	835
i22	1	4997
i23	1	474
i24	1	869
i25	1	446
i26	1	1408
i27	1	3077
i28	1	3697
i29	1	1141
i30	1	4108
i31	1	2040
i32	1	3212
i33	1	661
i34	1	3407
i35	1	1363
i36	1	2281
i37	1	1156
i38	1	2302
i39	1	4356
i40	1	925
i41	1	1668
i42	1	1991
i43	1	1559
i44	1	4395
i45	1	4556
i46	1	1859
i47	1	3284
i48	1	3652
i49	1	3296
i50	1	4422
i51	1	2066
i52	1	830
i53	1	3480
i54	1	1408
i55	1	3225
i56	1	1587
i57	1	4292
i58	1	1497
i59	1	3310
i60	1	1506
i61	1	1171
i62	1	1747
i63	1	1346
i64	1	770
i65	1	564
i66	1	1512
i67	1	2758
i68	1	3999
i69	1	4037
i70	1	633
i71	1	867
i72	1	1005
i73	1	3340
i74	1	1279
i75	1	1087
i76	1	3092
i77	1	1771
i78	1	2776
i79	1	2464
i80	1	2961
