SID	ntag	f50
e241;p572	2	134
e432;e433;p386	3	4065
e903;e904;p2268	3	311
e905	1	5000
e3074;p2284	2	4306
e3075;p4754	2	694
e4442	1	935
e8768;p7425	2	5000
d84	1	757
p1541	1	350
p1590	1	2236
p2380	1	2896
p2413	1	2420
p2589	1	454
p3831	1	5000
p3918	1	5000
p3934	1	2104
p3983	1	2580
p4218;h8351;h8352;h8353;h8354	5	4145
p4308	1	46
p4409	1	269
p4482	1	2764
p4555	1	5000
p5082;h8383;h8384	3	267
p5350	1	5000
h15962;h15963	2	5000
h16599	1	4243
d140	1	3142
p7364	1	3086
p5347	1	3136
p5363	1	3152
p4434	1	1723
p4505	1	1788
p3021	1	3185
p5346	1	3142
e5242;e5253	2	2115
e5264;e5275	2	3214
e5286;e5297	2	2249
e5308;e5319	2	3165
p7405	1	3240
e331;p7171;h1288;h1294	4	3242
p7423	1	3144
p5945	1	3226
e6933;p7427;h8400	3	3192
h8403	1	3173
p5941	1	3193
p5949	1	3166
e4905;e4916;e4927	3	3170
e5708;p7353;h11849;h11852	4	3150
e5710;e5712;p7385;h11855;h11858	5	3130
p3200	1	3112
p3236	1	3209
p3239	1	3165
p3263	1	3213
p7377;h15864	2	2121
p5737	1	1821
e888;e889;h18183;h18184	4	3103
e892;p5334;h18173;h18174	4	3126
e895;p5358	2	3129
e900;e901;p5344;h18187;h18188	5	3186
e1279	1	3147
e5478	1	3151
e5484	1	3185
e7846;p7458;h12022	3	3148
d145	1	3139
d573	1	3145
d156;h7310;h7311;h7319;h7320	5	3218
d577;h7313;h7314;h7322;h7323	5	3167
d578;h7316;h7317;h7325;h7326	5	3184
i1	1	1207
i2	1	3165
i3	1	4987
i4	1	3058
i5	1	2613
i6	1	1666
i7	1	1312
i8	1	4925
i9	1	4947
i10	1	1549
i11	1	1042
i12	1	4994
i13	1	2624
i14	1	4748
i15	1	2867
i16	1	1998
i17	1	2987
i18	1	3165
i19	1	2865
i20	1	4637
i21	1	3213
i22	1	2383
i23	1	1585
i24	1	1079
i25	1	2010
i26	1	1098
i27	1	1517
i28	1	1339
i29	1	965
i30	1	1082
i31	1	2086
i32	1	3432
i33	1	2109
i34	1	3056
i35	1	4527
i36	1	2764
i37	1	2785
i38	1	1036
i39	1	3199
i40	1	1369
