SID	ntag	f50	ntag.9	ntag.10	ntag.11	ntag.13	ntag.12	ntag.14	Ffinal.9	Ffinal.10	Ffinal.11	Ffinal.12	Ffinal.13	Ffinal.14
e241;p572	18.5	94	27	27	11	4	24	18	134	148	54	122	25	81
e432;e433;p386	853.333333333333	4253.66666666667	812	810	872	843	892	891	4065	4026	4336	4434	4213	4448
e903;e904;p2268	66	333.166666666667	59	70	97	61	58	51	311	348	454	289	320	277
e905	920.833333333333	5000	936	930	881	922	921	935	5000	5000	5000	5000	5000	5000
e3074;p2284	868.166666666667	4320.66666666667	865	941	821	837	880	865	4306	4705	4055	4392	4171	4295
e3075;p4754	135.833333333333	679.333333333333	139	63	183	167	124	139	694	295	945	608	829	705
e4442	150.666666666667	746.333333333333	192	194	132	161	112	113	935	974	664	566	787	552
e8768;p7425	1002	5000	1002	1002	1002	1002	1002	1002	5000	5000	5000	5000	5000	5000
d84	442.833333333333	2202.33333333333	157	586	205	687	490	532	757	2955	1010	2415	3406	2671
p1541	38	202	69	31	53	17	31	27	350	158	285	164	108	147
p1590	451.166666666667	2231	460	380	555	374	400	538	2236	1884	2771	2013	1792	2690
p2380	418.666666666667	2084	578	396	329	342	395	472	2896	1955	1605	1958	1699	2391
p2413	491.333333333333	2443.5	487	482	421	529	603	426	2420	2441	2093	2985	2591	2131
p2589	113.833333333333	555.5	91	88	94	42	124	244	454	444	468	562	216	1189
p3831	1001	5000	1001	1001	1001	1001	1001	1001	5000	5000	5000	5000	5000	5000
p3918	1001	5000	1001	1001	1001	1001	1001	1001	5000	5000	5000	5000	5000	5000
p3934	583.333333333333	2916	424	606	673	660	607	530	2104	3045	3395	3042	3301	2609
p3983	510.666666666667	2556.5	515	520	581	473	399	576	2580	2559	2907	2015	2409	2869
p4218;h8351;h8352;h8353;h8354	836.5	4154	834	852	850	942	830	711	4145	4212	4197	4113	4682	3575
p4308	14.1666666666667	70.8333333333333	10	4	24	17	20	10	46	17	124	114	77	47
p4409	46.3333333333333	224.166666666667	53	19	55	57	53	41	269	100	260	222	302	192
p4482	550.833333333333	2769	542	622	447	628	602	464	2764	3116	2229	2987	3208	2310
p4555	1001	5000	1001	1001	1001	1001	1001	1001	5000	5000	5000	5000	5000	5000
p5082;h8383;h8384	38.5	196.5	57	38	54	14	37	31	267	196	281	203	77	155
p5350	913	5000	884	943	892	919	912	928	5000	5000	5000	5000	5000	5000
h15962;h15963	1002	5000	1002	1002	1002	1002	1002	1002	5000	5000	5000	5000	5000	5000
h16599	559.166666666667	2797.66666666667	845	416	797	315	512	470	4243	2045	3990	2585	1594	2329
d140	1001	3154.83333333333	1001	1001	1001	1001	1001	1001	3142	3132	3163	3128	3188	3176
p7364	1001	3134.33333333333	1001	1001	1001	1001	1001	1001	3086	3137	3159	3113	3160	3151
p5347	1001	3152.83333333333	1001	1001	1001	1001	1001	1001	3136	3150	3092	3169	3216	3154
p5363	1001	3166.83333333333	1001	1001	1001	1001	1001	1001	3152	3174	3111	3162	3216	3186
p4434	451.333333333333	1782	418	466	485	458	418	463	1723	1783	1899	1639	1838	1810
p4505	387.833333333333	1566.83333333333	452	434	366	445	238	392	1788	1712	1517	1051	1730	1603
p3021	1001	3171.16666666667	1001	1001	1001	1001	1001	1001	3185	3192	3215	3173	3133	3129
p5346	1001	3170.33333333333	1001	1001	1001	1001	1001	1001	3142	3153	3193	3159	3167	3208
e5242;e5253	615.166666666667	2293	551	569	637	558	765	611	2115	2222	2335	2679	2133	2274
e5264;e5275	1002	3150.16666666667	1002	1002	1002	1002	1002	1002	3214	3089	3133	3171	3134	3160
e5286;e5297	551.666666666667	2113	585	537	518	545	585	540	2249	2026	1970	2247	2142	2044
e5308;e5319	1002	3168.16666666667	1002	1002	1002	1002	1002	1002	3165	3119	3202	3152	3164	3207
p7405	1001	3175.5	1001	1001	1001	1001	1001	1001	3240	3167	3205	3166	3128	3147
e331;p7171;h1288;h1294	1004	3185	1004	1004	1004	1004	1004	1004	3242	3210	3163	3150	3182	3163
p7423	1001	3151.83333333333	1001	1001	1001	1001	1001	1001	3144	3175	3171	3132	3179	3110
p5945	1001	3184.83333333333	1001	1001	1001	1001	1001	1001	3226	3150	3158	3211	3181	3183
e6933;p7427;h8400	1003	3156.83333333333	1003	1003	1003	1003	1003	1003	3192	3194	3183	3128	3105	3139
h8403	1001	3161	1001	1001	1001	1001	1001	1001	3173	3152	3126	3159	3171	3185
p5941	1001	3151	1001	1001	1001	1001	1001	1001	3193	3148	3179	3141	3119	3126
p5949	1001	3184.33333333333	1001	1001	1001	1001	1001	1001	3166	3173	3247	3104	3205	3211
e4905;e4916;e4927	1003	3163.33333333333	1003	1003	1003	1003	1003	1003	3170	3136	3200	3180	3100	3194
e5708;p7353;h11849;h11852	1004	3157.33333333333	1004	1004	1004	1004	1004	1004	3150	3102	3178	3187	3163	3164
e5710;e5712;p7385;h11855;h11858	1005	3163.5	1005	1005	1005	1005	1005	1005	3130	3154	3120	3201	3203	3173
p3200	1001	3139	1001	1001	1001	1001	1001	1001	3112	3128	3176	3127	3143	3148
p3236	1001	3183.5	1001	1001	1001	1001	1001	1001	3209	3203	3163	3182	3186	3158
p3239	1001	3185.66666666667	1001	1001	1001	1001	1001	1001	3165	3142	3213	3203	3221	3170
p3263	1001	3184	1001	1001	1001	1001	1001	1001	3213	3209	3202	3167	3146	3167
p7377;h15864	602.5	2268.16666666667	551	577	548	685	677	577	2121	2211	2112	2458	2473	2234
p5737	400.5	1648.33333333333	452	426	455	318	326	426	1821	1776	1836	1380	1337	1740
e888;e889;h18183;h18184	1004	3165.16666666667	1004	1004	1004	1004	1004	1004	3103	3195	3209	3175	3205	3104
e892;p5334;h18173;h18174	1004	3158.83333333333	1004	1004	1004	1004	1004	1004	3126	3241	3138	3185	3109	3154
e895;p5358	1002	3160	1002	1002	1002	1002	1002	1002	3129	3129	3167	3192	3202	3141
e900;e901;p5344;h18187;h18188	1005	3169.16666666667	1005	1005	1005	1005	1005	1005	3186	3185	3131	3161	3219	3133
e1279	1001	3160.66666666667	1001	1001	1001	1001	1001	1001	3147	3207	3211	3153	3111	3135
e5478	1001	3151.66666666667	1001	1001	1001	1001	1001	1001	3151	3177	3106	3167	3152	3157
e5484	1001	3172.5	1001	1001	1001	1001	1001	1001	3185	3197	3178	3156	3196	3123
e7846;p7458;h12022	1003	3160.66666666667	1003	1003	1003	1003	1003	1003	3148	3153	3154	3161	3182	3166
d145	1001	3168.5	1001	1001	1001	1001	1001	1001	3139	3189	3140	3220	3176	3147
d573	1001	3141.66666666667	1001	1001	1001	1001	1001	1001	3145	3121	3204	3185	3091	3104
d156;h7310;h7311;h7319;h7320	1005	3163.16666666667	1005	1005	1005	1005	1005	1005	3218	3156	3157	3132	3165	3151
d577;h7313;h7314;h7322;h7323	1005	3153.5	1005	1005	1005	1005	1005	1005	3167	3175	3148	3190	3061	3180
d578;h7316;h7317;h7325;h7326	1005	3193	1005	1005	1005	1005	1005	1005	3184	3161	3231	3207	3191	3184
i1	200.833333333333	1311.66666666667	172	177	276	305	140	135	1207	1016	1829	1053	1486	1279
i2	756.666666666667	3616.16666666667	654	720	789	816	799	762	3165	3424	3796	3808	3845	3659
i3	1110	4845.5	1121	1068	1144	1068	1223	1036	4987	4767	4939	4884	4665	4831
i4	425.666666666667	2805.5	501	411	290	465	301	586	3058	2586	2227	2763	2949	3250
i5	451.833333333333	2956.66666666667	401	489	578	420	460	363	2613	3031	3586	3542	2785	2183
i6	175.166666666667	974.5	303	299	56	150	157	86	1666	1617	413	835	859	457
i7	227.5	1231.16666666667	220	91	84	369	396	205	1312	589	508	2013	1917	1048
i8	999	4951.33333333333	998	1001	1002	1000	999	994	4925	4973	4964	4976	4958	4912
i9	998.833333333333	4969.66666666667	997	1000	996	1000	1001	999	4947	4996	4912	4990	4988	4985
i10	299.666666666667	1579.83333333333	280	272	479	158	177	432	1549	1492	2511	865	886	2176
i11	291.166666666667	1553.5	173	329	369	313	268	295	1042	1752	1955	1456	1661	1455
i12	1063	4994.66666666667	1075	1034	1070	1056	1067	1076	4994	4996	4991	4994	4997	4996
i13	338.166666666667	1996.83333333333	450	510	488	233	250	98	2624	2703	2744	1527	1392	991
i14	1059.5	4705.66666666667	985	1090	1109	968	1120	1085	4748	4806	4690	4745	4522	4723
i15	645.666666666667	3380	509	477	481	787	742	878	2867	2547	2646	3790	3939	4491
i16	694.166666666667	2993.83333333333	522	712	510	973	612	836	1998	2893	2502	2683	4107	3780
i17	532.666666666667	2349.16666666667	773	569	667	214	662	311	2987	2375	3038	2804	1103	1788
i18	435	2952.5	465	395	208	558	311	673	3165	2977	1938	2904	3092	3639
i19	380	2742.66666666667	367	327	571	413	349	253	2865	2626	3593	3012	2410	1950
i20	1367.33333333333	4507.66666666667	1503	1393	1660	1324	1332	992	4637	4618	4660	4633	4380	4118
i21	316.166666666667	2626	329	359	288	149	226	546	3213	3321	2483	1750	1723	3266
i22	232	2271.83333333333	150	141	81	345	413	262	2383	2339	1541	2713	2640	2015
i23	242.166666666667	1356.33333333333	316	525	35	55	283	239	1585	2607	597	1628	519	1202
i24	327.666666666667	1752.16666666667	172	213	408	433	320	420	1079	1242	2066	1861	2195	2070
i25	276.666666666667	1483.16666666667	418	165	466	247	177	187	2010	1022	2346	1191	1352	978
i26	214	1224.66666666667	200	161	123	330	241	229	1098	987	933	1466	1693	1171
i27	330.666666666667	1596.5	265	265	403	299	471	281	1517	1397	1916	1959	1341	1449
i28	173.333333333333	1180.83333333333	214	309	79	100	128	210	1339	1573	976	999	669	1529
i29	230.5	1433	109	121	279	336	431	107	965	842	1811	2289	1544	1147
i30	148.5	1093	128	129	49	125	216	244	1082	853	856	1373	743	1651
i31	256.333333333333	1515.83333333333	401	380	202	215	153	187	2086	1802	1463	1106	1137	1501
i32	893.666666666667	3617.33333333333	777	944	740	1073	907	921	3432	3937	3197	3357	3961	3820
i33	313.833333333333	2430.16666666667	287	408	385	164	169	470	2109	2443	2761	1960	2162	3146
i34	405	2850.5	502	429	350	408	479	262	3056	2588	2727	3252	3204	2276
i35	1274.5	4539.83333333333	1259	994	1288	1329	1320	1457	4527	4223	4560	4527	4683	4719
i36	398.666666666667	2954.83333333333	328	494	409	509	384	268	2764	2621	3169	3079	3277	2819
i37	307.833333333333	2537.83333333333	312	484	229	226	253	343	2785	2577	2306	2447	1996	3116
i38	236	1786.16666666667	145	272	326	85	479	109	1036	2152	2029	2975	1105	1420
i39	294.333333333333	2035.16666666667	600	168	231	271	280	216	3199	1618	1535	1915	1969	1975
i40	343	2286.5	211	385	378	473	119	492	1369	2652	2274	1145	2942	3337
