SID	ntag	f50	ntag.3	ntag.4	ntag.5	ntag.6	ntag.7	ntag.8	Ffinal.3	Ffinal.4	Ffinal.5	Ffinal.6	Ffinal.7	Ffinal.8
e903;e904;p2268	59.5	291	60	55	60	61	63	58	295	276	294	303	302	276
e905	931.333333333333	5000	932	932	930	934	925	935	5000	5000	5000	5000	5000	5000
e3005;p3018	1002	5000	1002	1002	1002	1002	1002	1002	5000	5000	5000	5000	5000	5000
e8709;e8711;p7387;h18745	1004	5000	1004	1004	1004	1004	1004	1004	5000	5000	5000	5000	5000	5000
e8768;p7425	1002	5000	1002	1002	1002	1002	1002	1002	5000	5000	5000	5000	5000	5000
d84	381.166666666667	1917.33333333333	401	341	420	412	380	333	2050	1655	2093	2068	1978	1660
p1541	60.6666666666667	298.333333333333	47	68	67	51	62	69	239	352	341	231	307	320
p1590	369.666666666667	1844	370	359	362	443	333	351	1858	1786	1745	2233	1673	1769
p2380	28.3333333333333	147.166666666667	30	25	31	33	30	21	156	131	159	169	165	103
p3934	973.666666666667	4852.83333333333	972	977	971	969	972	981	4844	4869	4841	4831	4835	4897
p4099	1001	5000	1001	1001	1001	1001	1001	1001	5000	5000	5000	5000	5000	5000
p4201	1001	5000	1001	1001	1001	1001	1001	1001	5000	5000	5000	5000	5000	5000
p4308	23.3333333333333	115.333333333333	11	21	15	13	32	48	55	99	84	73	156	225
p4409	55.5	282	29	63	61	51	66	63	153	317	301	250	342	329
p4482	632.333333333333	3156	632	643	640	559	669	651	3142	3214	3255	2767	3327	3231
p5348	1001	5000	1001	1001	1001	1001	1001	1001	5000	5000	5000	5000	5000	5000
p5350	904.166666666667	5000	931	892	896	925	893	888	5000	5000	5000	5000	5000	5000
h16599	620.833333333333	3082.66666666667	601	661	582	590	622	669	2950	3345	2907	2932	3022	3340
e331;p7171;h1288;h1294	1004	3199.5	1004	1004	1004	1004	1004	1004	3229	3188	3178	3198	3239	3165
p7423	1001	3149.83333333333	1001	1001	1001	1001	1001	1001	3110	3135	3179	3157	3166	3152
p5347	1001	3144.5	1001	1001	1001	1001	1001	1001	3175	3105	3201	3149	3158	3079
p5363	1001	3156	1001	1001	1001	1001	1001	1001	3226	3164	3135	3120	3144	3147
p5945	1001	3162.66666666667	1001	1001	1001	1001	1001	1001	3151	3191	3160	3206	3112	3156
e6933;p7427;h8400	1003	3162.83333333333	1003	1003	1003	1003	1003	1003	3136	3214	3156	3134	3197	3140
h8403	1001	3176	1001	1001	1001	1001	1001	1001	3174	3197	3151	3185	3198	3151
e5708;p7353;h11849;h11852	1004	3164.16666666667	1004	1004	1004	1004	1004	1004	3181	3155	3147	3210	3123	3169
e5710;e5712;p7385;h11855;h11858	1005	3145.33333333333	1005	1005	1005	1005	1005	1005	3203	3124	3134	3113	3125	3173
p3200	1001	3170.16666666667	1001	1001	1001	1001	1001	1001	3199	3148	3177	3132	3204	3161
p3236	1001	3189.66666666667	1001	1001	1001	1001	1001	1001	3194	3142	3149	3263	3170	3220
p3239	1001	3186.33333333333	1001	1001	1001	1001	1001	1001	3186	3205	3190	3183	3176	3178
p3263	1001	3176.16666666667	1001	1001	1001	1001	1001	1001	3204	3189	3208	3146	3161	3149
p7377;h15864	581	2202.33333333333	600	552	590	592	602	550	2297	2114	2202	2212	2237	2152
p5737	422	1714.66666666667	403	451	413	411	401	453	1645	1849	1689	1697	1612	1796
e888;e889;h18183;h18184	1004	3162.33333333333	1004	1004	1004	1004	1004	1004	3147	3196	3128	3142	3164	3197
e892;p5334;h18173;h18174	1004	3178.16666666667	1004	1004	1004	1004	1004	1004	3197	3195	3178	3203	3182	3114
e895;p5358	1002	3150	1002	1002	1002	1002	1002	1002	3166	3129	3184	3162	3127	3132
e900;e901;p5344;h18187;h18188	1005	3148.83333333333	1005	1005	1005	1005	1005	1005	3113	3168	3149	3134	3185	3144
e1279	1001	3174.66666666667	1001	1001	1001	1001	1001	1001	3176	3150	3188	3198	3182	3154
p5346	1001	3155.33333333333	1001	1001	1001	1001	1001	1001	3180	3159	3185	3172	3119	3117
e5478	1001	3178.5	1001	1001	1001	1001	1001	1001	3177	3217	3186	3194	3133	3164
e5484	1001	3171.66666666667	1001	1001	1001	1001	1001	1001	3164	3142	3166	3259	3199	3100
e7846;p7458;h12022	1003	3164.83333333333	1003	1003	1003	1003	1003	1003	3201	3190	3151	3095	3168	3184
p7405	1001	3170.5	1001	1001	1001	1001	1001	1001	3171	3154	3155	3136	3160	3247
p3021	1001	3161.5	1001	1001	1001	1001	1001	1001	3153	3145	3192	3176	3177	3126
d156;h7310;h7311;h7319;h7320	1005	3147.33333333333	1005	1005	1005	1005	1005	1005	3117	3195	3146	3084	3153	3189
d577;h7313;h7314;h7322;h7323	1005	3174.83333333333	1005	1005	1005	1005	1005	1005	3168	3160	3162	3208	3191	3160
d578;h7316;h7317;h7325;h7326	1005	3144.66666666667	1005	1005	1005	1005	1005	1005	3134	3148	3128	3106	3188	3164
p7364	1001	3141.83333333333	1001	1001	1001	1001	1001	1001	3117	3119	3146	3136	3158	3175
i1	206	1357.16666666667	208	201	199	203	207	218	1323	1289	1403	1322	1425	1381
i2	337.666666666667	2497	322	263	402	340	365	334	2412	2239	2714	2598	2638	2381
i3	984.833333333333	4501.83333333333	999	987	972	994	988	969	4515	4513	4510	4547	4488	4438
i4	604.833333333333	2633.33333333333	620	574	555	635	590	655	2598	2573	2499	2736	2629	2765
i5	639.166666666667	2769.5	664	662	669	600	654	586	2776	2849	2890	2679	2825	2598
i6	390.5	2745.5	389	432	374	373	329	446	2831	2963	2541	2801	2527	2810
i7	446.166666666667	2269.5	408	458	448	434	434	495	2210	2449	2240	2162	2269	2287
i8	602.666666666667	2814	600	532	602	618	609	655	2884	2634	2837	2822	2826	2881
i9	404.666666666667	2397	381	495	462	375	332	383	2413	2666	2398	2338	1970	2597
i10	439.666666666667	2595.83333333333	419	447	449	425	534	364	2515	2513	2445	2688	2850	2564
i11	285.5	1481	308	298	362	202	342	201	1494	1482	1708	1228	1806	1168
i12	298.5	1527.66666666667	379	323	227	306	207	349	1748	1565	1228	1636	1311	1678
i13	278.5	1455.33333333333	210	300	302	343	205	311	1159	1464	1543	1676	1289	1601
i14	295.166666666667	1510.16666666667	301	230	275	301	344	320	1457	1226	1401	1573	1782	1622
i15	326.333333333333	2775	349	316	298	349	345	301	2908	2747	2783	2879	2729	2604
i16	202	1325.16666666667	204	198	204	201	205	200	1346	1275	1371	1267	1361	1331
i17	211.333333333333	1370.66666666667	199	249	203	204	213	200	1295	1501	1383	1344	1423	1278
i18	205.333333333333	1339.5	207	202	215	204	201	203	1392	1314	1361	1330	1364	1276
i19	204.333333333333	1345.5	205	196	203	204	218	200	1379	1298	1375	1288	1407	1326
i20	238.333333333333	2393	199	230	241	250	247	263	2181	2383	2616	2380	2379	2419
i21	1415.66666666667	4811.5	1410	1409	1467	1407	1381	1420	4798	4832	4820	4821	4778	4820
i22	437.333333333333	2615.33333333333	453	439	352	450	462	468	2657	2554	2403	2708	2603	2767
i23	428.833333333333	2577.33333333333	419	456	444	413	442	399	2539	2591	2801	2593	2523	2417
i24	716.5	3504.83333333333	729	690	732	735	709	704	3571	3351	3568	3614	3494	3431
i25	1121	4976.83333333333	1117	1133	1114	1135	1099	1128	4970	4972	4975	4986	4974	4984
i26	1157.66666666667	4512.83333333333	1178	1132	1177	1126	1187	1146	4548	4447	4532	4485	4575	4490
i27	302.833333333333	1915.5	310	300	303	327	288	289	1925	1848	1977	1968	1927	1848
i28	311.5	1932.66666666667	314	349	299	304	299	304	1916	2130	1839	1906	1945	1860
i29	312.5	1910.66666666667	288	299	304	305	331	348	1828	1813	1885	1833	2027	2078
i30	781.166666666667	3806.33333333333	764	779	768	786	790	800	3739	3793	3711	3848	3878	3869
