SID	ntag	f50
e903;e904;p2268	3	295
e905	1	5000
e3005;p3018	2	5000
e8709;e8711;p7387;h18745	4	5000
e8768;p7425	2	5000
d84	1	2050
p1541	1	239
p1590	1	1858
p2380	1	156
p3934	1	4844
p4099	1	5000
p4201	1	5000
p4308	1	55
p4409	1	153
p4482	1	3142
p5348	1	5000
p5350	1	5000
h16599	1	2950
e331;p7171;h1288;h1294	4	3229
p7423	1	3110
p5347	1	3175
p5363	1	3226
p5945	1	3151
e6933;p7427;h8400	3	3136
h8403	1	3174
e5708;p7353;h11849;h11852	4	3181
e5710;e5712;p7385;h11855;h11858	5	3203
p3200	1	3199
p3236	1	3194
p3239	1	3186
p3263	1	3204
p7377;h15864	2	2297
p5737	1	1645
e888;e889;h18183;h18184	4	3147
e892;p5334;h18173;h18174	4	3197
e895;p5358	2	3166
e900;e901;p5344;h18187;h18188	5	3113
e1279	1	3176
p5346	1	3180
e5478	1	3177
e5484	1	3164
e7846;p7458;h12022	3	3201
p7405	1	3171
p3021	1	3153
d156;h7310;h7311;h7319;h7320	5	3117
d577;h7313;h7314;h7322;h7323	5	3168
d578;h7316;h7317;h7325;h7326	5	3134
p7364	1	3117
i1	1	1323
i2	1	2412
i3	1	4515
i4	1	2598
i5	1	2776
i6	1	2831
i7	1	2210
i8	1	2884
i9	1	2413
i10	1	2515
i11	1	1494
i12	1	1748
i13	1	1159
i14	1	1457
i15	1	2908
i16	1	1346
i17	1	1295
i18	1	1392
i19	1	1379
i20	1	2181
i21	1	4798
i22	1	2657
i23	1	2539
i24	1	3571
i25	1	4970
i26	1	4548
i27	1	1925
i28	1	1916
i29	1	1828
i30	1	3739
