SID	ntag	f50
e51;h13889;h13892	3	1812
e543;e544	2	732
e545;h4324	2	728
e554;p5199	2	777
e555;e4779;e4780;p5762	4	3485
e558;p5188	2	276
e559;e4785;e4786;p5749	4	4424
e1539;p5323;h13181;h13182	4	5000
e3036;p5761;h15118	3	4523
e3656;p7473;h13895;h13901	4	3188
e4702;e4713	2	758
e4703;e4714	2	1060
e4710;e4721	2	1010
e4783	1	290
e4789	1	38
e8709;e8711;p7387;h18745	4	5000
e8761;p7397	2	3511
p37	1	262
p40	1	448
p58	1	1632
p963	1	1489
p1446	1	52
p2403	1	1300
p3966	1	2068
p4289;h13165	2	272
p5197	1	477
p5343	1	5000
p5351	1	5000
p5373	1	5000
p5952	1	2339
p7670	1	2661
h4325	1	712
h13166	1	40
h13167	1	69
h13176	1	54
h13201	1	9
h13204	1	52
h13205	1	32
e331;p7171;h1288;h1294	4	3133
p7423	1	3161
p5347	1	3170
p5363	1	3143
p5945	1	3164
e6933;p7427;h8400	3	3189
h8403	1	3190
p7377;h15864	2	2113
p5737	1	1738
e888;e889;h18183;h18184	4	3119
e892;p5334;h18173;h18174	4	3148
e895;p5358	2	3125
e900;e901;p5344;h18187;h18188	5	3143
e905	1	3128
e1279	1	3161
p5346	1	3149
p5943	1	3188
e1570;h12551;h12554	3	3146
e1571;h12545;h12548	3	3132
h12557;h12560	2	3166
h12563;h12566	2	3119
p3021	1	3157
e1183;p5733	2	1746
e1186;p5741;h11861;h11862	4	2013
e5708;p7353;h11849;h11852	4	2223
e5710;e5712;p7385;h11855;h11858	5	1971
e3095;p4053;h18875;h18876	4	3171
e3097;p3932;h18877;h18878	4	3173
p7405	1	3091
d145	1	3115
d573	1	3162
p7364	1	3155
e3205;p4380	2	3114
e3211;p4489;h16785	3	3122
h16791;h16819	2	3108
d156;h7310;h7311;h7319;h7320	5	3144
d577;h7313;h7314;h7322;h7323	5	3131
d578;h7316;h7317;h7325;h7326	5	3208
e1237;p4361	2	3158
e1238;p4367	2	3198
e1240;p4485	2	3118
e1242;p4404	2	3177
e1245;p4472	2	3129
e5478	1	3172
e5484	1	3157
e7846;p7458;h12022	3	3164
e3271;p2948	2	3138
h13158	1	3115
e8782;p7389	2	3107
h15867	1	3152
h7187	1	3175
e4047;h5284	2	3119
h7071;h7077	2	1449
e6842;p7484;h6931	3	3145
h7072;h7078	2	1349
h6934	1	3137
h7090;h7135	2	3132
h7105;h7150	2	1495
h7120;h7165	2	3155
h7188	1	3181
h7073;h7079	2	1425
h7074;h7080	2	1437
h7093;h7138	2	3209
h7108;h7153	2	1304
h7123;h7168	2	3132
e6467;p3437	2	2092
e6473;p3445	2	2084
p3482	1	1811
p3492	1	1805
e6540;e6542;p7355;h13480	4	3169
h16788	1	3153
h16794;h16822	2	3158
i1	1	2320
i2	1	3836
i3	1	2804
i4	1	2542
i5	1	2759
i6	1	2238
i7	1	2765
i8	1	2569
i9	1	804
i10	1	1166
i11	1	1214
i12	1	965
i13	1	1439
i14	1	2760
i15	1	4321
i16	1	1932
i17	1	1331
i18	1	1372
i19	1	1261
i20	1	1216
i21	1	4515
i22	1	2577
i23	1	2526
i24	1	2475
i25	1	2499
i26	1	4613
i27	1	2457
i28	1	2688
i29	1	4325
i30	1	1945
i31	1	2060
i32	1	2045
i33	1	1772
i34	1	1948
i35	1	1994
i36	1	1301
i37	1	1215
i38	1	1208
i39	1	1234
i40	1	1221
i41	1	2425
i42	1	2526
i43	1	4050
i44	1	4174
i45	1	4007
i46	1	4163
i47	1	4134
i48	1	1662
i49	1	4078
i50	1	1606
i51	1	4019
i52	1	4210
i53	1	1473
i54	1	1521
i55	1	1367
i56	1	1571
i57	1	1586
i58	1	1670
i59	1	2451
i60	1	2469
i61	1	4353
i62	1	2404
i63	1	2369
