SID	ntag	f50	ntag.3	ntag.4	ntag.5	ntag.7	ntag.6	ntag.8	Ffinal.3	Ffinal.4	Ffinal.5	Ffinal.6	Ffinal.7	Ffinal.8
e51;h13889;h13892	382.166666666667	1898	364	377	399	389	374	390	1812	1918	1983	1785	1940	1950
e543;e544	152.333333333333	736.666666666667	152	155	153	152	150	152	732	730	752	717	711	778
e545;h4324	169.666666666667	836.5	152	195	153	152	203	163	728	972	726	1020	767	806
e554;p5199	133.166666666667	660.166666666667	158	117	119	119	139	147	777	576	592	696	596	724
e555;e4779;e4780;p5762	714.833333333333	3502.33333333333	718	714	732	708	692	725	3485	3465	3623	3375	3490	3576
e558;p5188	58.8333333333333	284.166666666667	60	61	59	57	56	60	276	300	298	251	287	293
e559;e4785;e4786;p5749	893.166666666667	4379.16666666667	898	888	897	889	897	890	4424	4364	4374	4403	4336	4374
e1539;p5323;h13181;h13182	892.666666666667	5000	871	926	923	920	865	851	5000	5000	5000	5000	5000	5000
e3036;p5761;h15118	907.333333333333	4529	901	910	902	910	920	901	4523	4546	4500	4607	4527	4471
e3656;p7473;h13895;h13901	624.833333333333	3102	643	630	608	618	633	617	3188	3082	3017	3215	3060	3050
e4702;e4713	180	883	150	196	200	183	152	199	758	989	969	725	879	978
e4703;e4714	192	963	203	152	200	202	202	193	1060	705	1021	1006	1091	895
e4710;e4721	206.833333333333	1034.33333333333	203	215	203	205	206	209	1010	1069	1021	1045	989	1072
e4783	66.6666666666667	337.333333333333	53	96	53	57	88	53	290	487	263	431	303	250
e4789	17	80.8333333333333	10	19	14	20	17	22	38	96	72	86	114	79
e8709;e8711;p7387;h18745	1004	5000	1004	1004	1004	1004	1004	1004	5000	5000	5000	5000	5000	5000
e8761;p7397	697.5	3475.33333333333	703	674	697	703	700	708	3511	3349	3463	3549	3483	3497
p37	51.6666666666667	255.833333333333	52	49	52	54	52	51	262	240	256	260	263	254
p40	101.5	500.166666666667	89	99	105	116	101	99	448	472	522	498	611	450
p58	318.166666666667	1567	344	301	302	314	348	300	1632	1455	1502	1765	1577	1471
p963	305.5	1524.66666666667	300	329	306	300	303	295	1489	1651	1537	1451	1517	1503
p1446	6	30.5	10	4	3	3	9	7	52	20	12	38	19	42
p2403	268.666666666667	1371.5	245	289	301	270	243	264	1300	1463	1498	1222	1357	1389
p3966	416.5	2061.5	428	415	400	412	410	434	2068	2082	2000	2013	2066	2140
p4289;h13165	42	214.666666666667	55	26	32	29	55	55	272	138	162	286	154	276
p5197	96.6666666666667	471	103	94	102	94	84	103	477	454	500	393	473	529
p5343	1001	5000	1001	1001	1001	1001	1001	1001	5000	5000	5000	5000	5000	5000
p5351	1001	5000	1001	1001	1001	1001	1001	1001	5000	5000	5000	5000	5000	5000
p5373	1001	5000	1001	1001	1001	1001	1001	1001	5000	5000	5000	5000	5000	5000
p5952	466.166666666667	2344	469	495	480	413	499	441	2339	2454	2486	2498	2096	2191
p7670	535.833333333333	2656	533	507	522	589	503	561	2661	2546	2514	2502	2904	2809
h4325	109.166666666667	546.5	148	102	101	102	101	101	712	535	511	487	563	471
h13166	7	31.8333333333333	9	5	2	7	11	8	40	17	13	49	40	32
h13167	6.66666666666667	35	13	3	2	2	11	9	69	21	3	51	13	53
h13176	7.33333333333333	37.3333333333333	10	4	4	2	9	15	54	18	24	45	7	76
h13201	5.16666666666667	27.5	3	4	7	3	5	9	9	19	39	26	19	53
h13204	7.16666666666667	37	9	3	3	4	13	11	52	11	22	63	21	53
h13205	8.83333333333333	45	11	2	5	5	9	21	32	8	29	56	22	123
e331;p7171;h1288;h1294	1004	3177.5	1004	1004	1004	1004	1004	1004	3133	3209	3191	3165	3156	3211
p7423	1001	3180.16666666667	1001	1001	1001	1001	1001	1001	3161	3174	3160	3196	3216	3174
p5347	1001	3145.33333333333	1001	1001	1001	1001	1001	1001	3170	3142	3090	3147	3127	3196
p5363	1001	3171.33333333333	1001	1001	1001	1001	1001	1001	3143	3160	3204	3175	3181	3165
p5945	1001	3145.33333333333	1001	1001	1001	1001	1001	1001	3164	3170	3187	3093	3114	3144
e6933;p7427;h8400	1003	3162.16666666667	1003	1003	1003	1003	1003	1003	3189	3164	3157	3139	3154	3170
h8403	1001	3143.66666666667	1001	1001	1001	1001	1001	1001	3190	3087	3136	3166	3125	3158
p7377;h15864	569.166666666667	2141.5	571	554	600	559	570	561	2113	2070	2246	2157	2081	2182
p5737	433.833333333333	1743.16666666667	432	449	403	444	433	442	1738	1771	1651	1734	1795	1770
