SID	ntag	f50	ntag.3	ntag.4	ntag.5	ntag.7	ntag.6	ntag.8	Ffinal.3	Ffinal.4	Ffinal.5	Ffinal.6	Ffinal.7	Ffinal.8
e888;e889;h18183;h18184	1004	3167.5	1004	1004	1004	1004	1004	1004	3119	3168	3196	3192	3189	3141
e892;p5334;h18173;h18174	1004	3154.83333333333	1004	1004	1004	1004	1004	1004	3148	3187	3084	3223	3166	3121
e895;p5358	1002	3155.5	1002	1002	1002	1002	1002	1002	3125	3142	3115	3212	3161	3178
e900;e901;p5344;h18187;h18188	1005	3170.33333333333	1005	1005	1005	1005	1005	1005	3143	3201	3160	3208	3143	3167
e905	1001	3146.66666666667	1001	1001	1001	1001	1001	1001	3128	3209	3142	3156	3111	3134
e1279	1001	3190.5	1001	1001	1001	1001	1001	1001	3161	3192	3167	3182	3207	3234
p5346	1001	3168.16666666667	1001	1001	1001	1001	1001	1001	3149	3186	3149	3180	3163	3182
p5943	1001	3179.83333333333	1001	1001	1001	1001	1001	1001	3188	3218	3142	3195	3184	3152
e1570;h12551;h12554	1003	3150.83333333333	1003	1003	1003	1003	1003	1003	3146	3126	3189	3162	3163	3119
e1571;h12545;h12548	1003	3155.66666666667	1003	1003	1003	1003	1003	1003	3132	3207	3094	3153	3154	3194
h12557;h12560	1002	3179.83333333333	1002	1002	1002	1002	1002	1002	3166	3203	3135	3190	3203	3182
h12563;h12566	1002	3134	1002	1002	1002	1002	1002	1002	3119	3134	3161	3121	3126	3143
p3021	1001	3144.5	1001	1001	1001	1001	1001	1001	3157	3214	3107	3110	3145	3134
e1183;p5733	442.833333333333	1770	437	432	438	451	453	446	1746	1737	1731	1848	1784	1774
e1186;p5741;h11861;h11862	470.666666666667	1887.33333333333	496	463	474	459	464	468	2013	1810	1900	1869	1839	1893
e5708;p7353;h11849;h11852	563.166666666667	2149	569	574	568	555	553	560	2223	2138	2119	2140	2140	2134
e5710;e5712;p7385;h11855;h11858	538.333333333333	2066.33333333333	513	546	535	550	545	541	1971	2073	2035	2104	2108	2107
e3095;p4053;h18875;h18876	1004	3156.16666666667	1004	1004	1004	1004	1004	1004	3171	3172	3110	3166	3172	3146
e3097;p3932;h18877;h18878	1004	3164.83333333333	1004	1004	1004	1004	1004	1004	3173	3180	3181	3146	3213	3096
p7405	1001	3159.66666666667	1001	1001	1001	1001	1001	1001	3091	3193	3174	3177	3155	3168
d145	1001	3164.33333333333	1001	1001	1001	1001	1001	1001	3115	3194	3171	3194	3186	3126
d573	1001	3178.33333333333	1001	1001	1001	1001	1001	1001	3162	3201	3212	3159	3157	3179
p7364	1001	3157.66666666667	1001	1001	1001	1001	1001	1001	3155	3167	3168	3139	3153	3164
e3205;p4380	1002	3160.5	1002	1002	1002	1002	1002	1002	3114	3210	3128	3180	3154	3177
e3211;p4489;h16785	1003	3153.66666666667	1003	1003	1003	1003	1003	1003	3122	3171	3190	3134	3149	3156
h16791;h16819	1002	3143.66666666667	1002	1002	1002	1002	1002	1002	3108	3108	3155	3178	3131	3182
d156;h7310;h7311;h7319;h7320	1005	3155	1005	1005	1005	1005	1005	1005	3144	3142	3156	3158	3154	3176
d577;h7313;h7314;h7322;h7323	1005	3177.66666666667	1005	1005	1005	1005	1005	1005	3131	3214	3172	3212	3149	3188
d578;h7316;h7317;h7325;h7326	1005	3146.5	1005	1005	1005	1005	1005	1005	3208	3117	3205	3069	3112	3168
e1237;p4361	1002	3153.66666666667	1002	1002	1002	1002	1002	1002	3158	3174	3212	3130	3140	3108
e1238;p4367	1002	3150	1002	1002	1002	1002	1002	1002	3198	3145	3143	3140	3200	3074
e1240;p4485	1002	3151.16666666667	1002	1002	1002	1002	1002	1002	3118	3164	3135	3146	3160	3184
e1242;p4404	1002	3163.5	1002	1002	1002	1002	1002	1002	3177	3182	3122	3112	3224	3164
e1245;p4472	1002	3200.83333333333	1002	1002	1002	1002	1002	1002	3129	3158	3231	3241	3212	3234
e5478	1001	3157.16666666667	1001	1001	1001	1001	1001	1001	3172	3146	3170	3225	3109	3121
e5484	1001	3169.83333333333	1001	1001	1001	1001	1001	1001	3157	3178	3170	3189	3157	3168
e7846;p7458;h12022	1003	3154.83333333333	1003	1003	1003	1003	1003	1003	3164	3187	3151	3109	3170	3148
e3271;p2948	1002	3151.33333333333	1002	1002	1002	1002	1002	1002	3138	3160	3133	3180	3143	3154
h13158	1001	3155.16666666667	1001	1001	1001	1001	1001	1001	3115	3174	3173	3164	3140	3165
e8782;p7389	1002	3151.83333333333	1002	1002	1002	1002	1002	1002	3107	3170	3139	3195	3175	3125
h15867	1001	3151.66666666667	1001	1001	1001	1001	1001	1001	3152	3132	3142	3223	3123	3138
h7187	1001	3162	1001	1001	1001	1001	1001	1001	3175	3111	3177	3138	3200	3171
e4047;h5284	1002	3155.5	1002	1002	1002	1002	1002	1002	3119	3202	3159	3137	3132	3184
h7071;h7077	344.166666666667	1437.16666666667	352	349	350	311	351	352	1449	1456	1494	1439	1307	1478
e6842;p7484;h6931	1003	3136	1003	1003	1003	1003	1003	1003	3145	3158	3132	3114	3093	3174
h7072;h7078	321.5	1391.5	303	309	304	355	353	305	1349	1405	1275	1529	1497	1294
h6934	1001	3146.33333333333	1001	1001	1001	1001	1001	1001	3137	3218	3146	3135	3141	3101
h7090;h7135	1002	3177.83333333333	1002	1002	1002	1002	1002	1002	3132	3186	3195	3152	3217	3185
h7105;h7150	341.333333333333	1426.16666666667	351	349	352	336	306	354	1495	1423	1504	1269	1405	1461
h7120;h7165	1002	3160.16666666667	1002	1002	1002	1002	1002	1002	3155	3145	3124	3156	3172	3209
h7188	1001	3184.16666666667	1001	1001	1001	1001	1001	1001	3181	3201	3213	3177	3192	3141
h7073;h7079	338.333333333333	1435.16666666667	347	326	351	352	321	333	1425	1384	1515	1372	1509	1406
h7074;h7080	342.666666666667	1418.5	345	328	349	350	346	338	1437	1382	1468	1437	1432	1355
h7093;h7138	1002	3165	1002	1002	1002	1002	1002	1002	3209	3129	3149	3174	3161	3168
h7108;h7153	329.333333333333	1370.66666666667	315	355	307	306	348	345	1304	1461	1274	1453	1274	1458
h7123;h7168	1002	3144.16666666667	1002	1002	1002	1002	1002	1002	3132	3166	3159	3156	3123	3129
e6467;p3437	564	2145	555	585	562	550	570	562	2092	2140	2156	2193	2114	2175
e6473;p3445	563.5	2136.33333333333	568	567	549	564	549	584	2084	2168	2098	2145	2154	2169
p3482	439	1797.5	448	418	441	453	433	441	1811	1719	1798	1782	1888	1787
p3492	439.5	1778.16666666667	435	436	454	439	454	419	1805	1782	1785	1757	1818	1722
e6540;e6542;p7355;h13480	1004	3182.16666666667	1004	1004	1004	1004	1004	1004	3169	3202	3177	3197	3198	3150
h16788	1001	3168.83333333333	1001	1001	1001	1001	1001	1001	3153	3177	3207	3152	3161	3163
h16794;h16822	1002	3151.5	1002	1002	1002	1002	1002	1002	3158	3191	3146	3159	3173	3082
i1	353.166666666667	2285.5	363	426	312	347	323	348	2320	2472	2160	2189	2288	2284
i2	818.166666666667	3781	817	810	820	815	820	827	3836	3705	3833	3823	3666	3823
i3	666.166666666667	2753.33333333333	663	685	674	719	622	634	2804	2757	2764	2487	3016	2692
i4	632.166666666667	2595	610	637	638	550	718	640	2542	2527	2614	2808	2375	2704
i5	469.5	2767.5	482	421	487	460	483	484	2759	2587	2850	2809	2822	2778
i6	524.166666666667	2415.16666666667	509	488	585	582	463	518	2238	2364	2666	2389	2487	2347
i7	589.666666666667	2630.33333333333	667	588	509	573	583	618	2765	2689	2376	2802	2462	2688
i8	238.833333333333	2586	202	252	248	238	252	241	2569	2585	2557	2502	2628	2675
i9	207.666666666667	1038.16666666667	153	240	223	238	200	192	804	1148	1134	989	1167	987
i10	211.666666666667	1032.66666666667	246	196	174	166	248	240	1166	989	941	1161	832	1107
i11	242	1183.83333333333	249	240	234	244	240	245	1214	1192	1229	1139	1183	1146
i12	228.333333333333	1105	185	245	228	262	198	252	965	1162	1136	962	1233	1172
i13	260.833333333333	1247	297	263	233	235	292	245	1439	1221	1167	1310	1174	1171
i14	248.5	2628	252	248	248	243	255	245	2760	2644	2592	2483	2651	2638
i15	1095.16666666667	4334	1089	1083	1134	1099	1056	1110	4321	4312	4430	4286	4345	4310
i16	208.5	1626.83333333333	271	216	155	305	151	153	1932	1671	1423	1296	1995	1444
i17	143.833333333333	1326.33333333333	153	148	152	102	154	154	1331	1397	1379	1313	1136	1402
i18	156.333333333333	1408.33333333333	149	153	183	146	157	150	1372	1434	1519	1313	1345	1467
i19	147.166666666667	1361.66666666667	120	153	132	147	179	152	1261	1446	1317	1421	1313	1412
i20	134.333333333333	1323.16666666667	107	103	154	141	150	151	1216	1207	1433	1362	1298	1423
i21	1267.83333333333	4510.16666666667	1271	1298	1260	1216	1295	1267	4515	4592	4492	4522	4425	4515
i22	482.333333333333	2463.83333333333	504	502	453	523	408	504	2577	2500	2374	2285	2511	2536
i23	514.333333333333	2568.33333333333	495	487	548	514	540	502	2526	2411	2720	2794	2420	2539
i24	307.333333333333	2428.5	320	325	313	271	336	279	2475	2540	2403	2427	2336	2390
i25	340.333333333333	2558.66666666667	321	321	348	392	329	331	2499	2526	2501	2325	2813	2688
i26	1305	4574.83333333333	1316	1311	1292	1295	1312	1304	4613	4541	4561	4540	4609	4585
i27	347.5	2442	322	355	357	357	332	362	2457	2383	2603	2452	2367	2390
i28	376.5	2596.66666666667	390	359	352	394	396	368	2688	2451	2629	2698	2595	2519
i29	1150.16666666667	4276.33333333333	1152	1137	1192	1119	1135	1166	4325	4214	4369	4215	4229	4306
i30	293.333333333333	2024.66666666667	282	265	252	355	302	304	1945	1965	1876	2026	2243	2093
i31	269.666666666667	1924	296	251	311	251	256	253	2060	1801	2077	1853	1850	1903
i32	269.833333333333	1935.5	289	304	253	252	267	254	2045	2064	1919	1886	1808	1891
i33	294.333333333333	1837.33333333333	274	300	305	301	319	267	1772	1813	1843	1915	1904	1777
i34	311.5	1909.66666666667	301	304	306	301	344	313	1948	1807	1838	2036	1925	1904
i35	307.666666666667	1907.16666666667	310	307	309	301	274	345	1994	1898	1872	1719	1936	2024
i36	233.5	1357.33333333333	220	299	276	203	201	202	1301	1463	1586	1324	1154	1316
i37	201	1196.66666666667	201	199	201	201	202	202	1215	998	1317	1279	1069	1302
i38	211.833333333333	1266.33333333333	204	199	200	200	264	204	1208	1045	1318	1523	1101	1403
i39	200.166666666667	1224.5	208	200	203	203	200	187	1234	1085	1330	1305	1108	1285
i40	241.666666666667	1365.33333333333	200	308	202	338	200	202	1221	1414	1309	1263	1666	1319
i41	348.166666666667	2393.5	369	309	364	309	348	390	2425	2203	2462	2496	2173	2602
i42	379.666666666667	2559.66666666667	395	372	354	425	376	356	2526	2576	2442	2682	2701	2431
i43	999	4051.5	980	1000	993	1029	980	1012	4050	3996	4046	4031	4083	4103
i44	990	4053.33333333333	1022	992	981	957	1004	984	4174	4065	4085	4057	3949	3990
i45	967.333333333333	4044	963	970	989	953	959	970	4007	4100	4048	4037	4047	4025
i46	1020.33333333333	4144	1037	1002	1008	1032	1039	1004	4163	4147	4100	4164	4149	4141
i47	1115	4215.5	1062	1135	1121	1136	1106	1130	4134	4246	4206	4188	4275	4244
i48	235.166666666667	1658.66666666667	252	255	246	209	202	247	1662	1786	1796	1449	1570	1689
i49	1005.16666666667	4039.33333333333	997	992	1053	979	967	1043	4078	4026	4155	3956	3907	4114
i50	226.833333333333	1617.33333333333	248	213	186	215	247	252	1606	1509	1596	1601	1675	1717
i51	994.666666666667	4034.16666666667	990	978	982	1003	1030	985	4019	3999	3988	4153	4097	3949
i52	1055	4164.16666666667	1072	1083	1042	1045	1060	1028	4210	4209	4120	4196	4116	4134
i53	201.666666666667	1510	198	203	201	203	232	173	1473	1538	1618	1554	1555	1322
i54	227.833333333333	1615.33333333333	237	202	235	246	245	202	1521	1530	1814	1595	1750	1482
i55	268.833333333333	1549.66666666667	204	202	302	339	257	309	1367	1331	1610	1566	1729	1695
i56	255.5	1498.83333333333	249	269	356	200	200	259	1571	1526	1854	1291	1251	1500
i57	230.5	1406.5	255	206	200	210	255	257	1586	1344	1286	1478	1250	1495
i58	281.666666666667	1604.16666666667	278	370	206	314	318	204	1670	1877	1271	1781	1734	1292
i59	426.166666666667	2545	435	479	372	451	383	437	2451	2847	2368	2352	2688	2564
i60	394.166666666667	2414	440	305	403	372	451	394	2469	2126	2496	2615	2406	2372
i61	1327.16666666667	4390.5	1330	1312	1326	1328	1357	1310	4353	4399	4408	4395	4429	4359
i62	215	2453.83333333333	205	217	211	240	210	207	2404	2480	2294	2518	2553	2474
i63	222	2465.5	206	238	246	207	201	234	2369	2537	2470	2482	2341	2594
